date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:10:55	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
02:10:55	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
02:10:56	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
02:10:56	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
02:10:56	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
02:10:57	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
02:10:58	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/f2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
02:10:58	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/f2/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
02:11:00	601087/601087	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:00%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/f2/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
02:11:01	593792/593792	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:01%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/f2/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
02:11:01	576369/576369	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:01%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/f2/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
02:11:03	897944/897944	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:03%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
02:11:03	7686/7686	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:04%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
02:11:04	848643/848643	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:04%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
02:11:04	7933/7933	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:05%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/business.2a.delayed	(from https://www.classcentral.com/)
02:11:05	7731/7731	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:05%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/humanities	(from https://www.classcentral.com/)
02:11:06	7947/7947	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:06%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/engineering.2c.delayed	(from https://www.classcentral.com/)
02:11:06	7910/7910	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:07%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/science.2d.delayed	(from https://www.classcentral.com/)
02:11:07	7920/7920	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:08%20GMT	https://www.classcentral.com/subject/education	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/education.2e.delayed	(from https://www.classcentral.com/)
02:11:08	7988/7988	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:09%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
02:11:11	822560/822560	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:11%20GMT	https://www.classcentral.com/subject/art-and-design	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/art-and-design.html	(from https://www.classcentral.com/)
02:11:11	7933/7933	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:12%20GMT	https://www.classcentral.com/subject/data-science	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
02:11:11	7909/7909	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:12%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/programming-and-software-development	(from https://www.classcentral.com/)
02:11:14	828955/828955	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:14%20GMT	https://www.classcentral.com/subject/personal-development	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/personal-development.html	(from https://www.classcentral.com/)
02:11:14	7910/7910	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Thu,%2002%20Mar%202023%2020:41:14%20GMT	https://www.classcentral.com/subject/infosec	C:/My%20Web%20Sites/f2/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
02:11:16	3029396/3029396	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:16%20GMT	https://www.classcentral.com/universities	C:/My%20Web%20Sites/f2/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
02:11:16	170638/170638	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2015:06:14%20GMT	https://www.classcentral.com/report/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
02:11:18	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
02:11:19	838980/838980	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:17%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/My%20Web%20Sites/f2/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
02:11:19	33057/33057	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2005:59:43%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
02:11:19	4168/4168	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Oct%202022%2014:19:28%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
02:11:19	35437/35437	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2013:28:01%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
02:11:24	198673/198673	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:20:51%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
02:11:24	145439/145439	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:09%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
02:11:24	153563/153563	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:10%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
02:11:24	817610/817610	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2020:41:21%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/My%20Web%20Sites/f2/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
02:11:24	176844/176844	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:11%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
02:11:25	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
02:11:25	178706/178706	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:21:12%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/My%20Web%20Sites/f2/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
02:11:26	5751/5751	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202023%2023:45:37%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/My%20Web%20Sites/f2/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
